xx,qa06id,qa06name,qa06wher,qa06dsc,ty26colo,ty26fakt
2522377,SOR-0348-2019,Not following ATC speed restrictions,Europe and North Atlantic - Austria / LOWW / AUA550,"CM2 was performing ILS RAW data approach on training flight. We were vectored to app. 9 NM final and  instructed to keep speed 180 kts. CM2 was unable to intercept final course when intercepting from base leg. We overshoot localizer, at that time CM1 took over controls and to reduce turn radius speed was reduced to 160 kts.  I forgot about speed restriction and we were warned from ATC to keep the speed 180 kts, traffic behind. We accelerated again to 180 kts and normal landing afterwards in VMC conditions was performed",0,2
2346650,SOR-0095-2019,Turning heading to intercept loc,Europe and North Atlantic - Belgium / Bru / ADR394,"Bru app rw 25L ILS. Still on asighned heading but closing in on loc. Like automatic response to intercept loc to prevent overshoot we turned hdg  to intercept. At the moment we realised we did this on our own initiative and corected hdg, ATC called us if it is ok with us to overshoot loc to intercept from other side. It was conveniate for us so we complied. Normal app and landing.",0,2
2047008,SOR-0264-2017,No security seals on board,Europe and North Atlantic - Slovenia / Lati / 727,"There were no security seals on board to seal the aircraft during night stop in Tirana. None were available to borrow from AD or other companies (Austrian, Alitalia). We arranged with AD security to pay special attention to our aircraft using cameras (6 were available and covering our aircraft). 
Upon arrival next morning we performed thorough security search. 
Adria Tehnika was contacted to get seals, but they also do not have them on stock.

Captain was present during writing this report.",0,1
2528229,SOR-0358-2019,TCAS,Europe and North Atlantic - Austria / RH base for RWY 34 at VIE / AUA742,"VIE RWY 34
At position RH base radar HDG 240° at 3000 FT unknown traffic below at 2500 FT.
Advisory and monitor V/S were triggered. Traffic was on TCAS and after we got info from ATC as well in sight.",1,20
2139606,SOR-0101-2018,Electrical smell,Europe and North Atlantic - Slovenia / Ljubljana / JP117,Electrical smell found by cabin crew member in aft galley (kitchen). Galley & cabin switch was set to off on panel 35VV for the rest of the flight.,0,1
2204680,SOR-0246-2018,Wrong trip fuel calculation on OFP,Europe and North Atlantic - Slovenia / Brnik,"Trip fuel calculated on OFP for flight LJU- ZTH was wrong. There was only arrival, which ended on ZAK VOR, but no approach procedure included in OFP. Actual burn off fuel was 300 kg more than calculated in OFP, with some short cuts on route.",0,2
2032166,SOR-0208-2017,Prn nutrition,Europe and North Atlantic - Kosovo / Flights from prn,"Na letih iz PRN ni zagotovljena prehrana v skladu z OM A 7.8.1 in FTL ORO.FTL.240. Krši se kolektivna pogodba, kjer je v 104. Členu definirano da je maksimalna cena za topel obrok + sendvič 6,12 € (2. Člen tarifnega dela). Za tak denar si lahko zagotoviš samo brezmesni obrok, kar ni primerno za celodnevno letenje.
Na letih iz prn so tudi lokalne posadke, za katere je cena obroka še bolj neprimerna. 
Prav tako ni vredu, da moraš hrano naročati toliko vnaprej. 
",0,1
1938960,CAA MOR-0131-2016,Overspeed,Germany / Eddm / Jp109,After depparture vhen approaching ALENU point from VAVOR 2E departure we exceded 230 speed constraint. After ATC notification speed was reduced.,0,1
2268043,SOR-0492-2018,Diversion to BUD due to pax with heart,Europe and North Atlantic - Hungary / Lhbp,At the airport of KIV we borded a pax-child of 5 years old who was declared as MEDA. She was escorted by two doctors who came with us on previous flight from VIE to KIV. Upon boarding we noticed that this child also had a oxygen concentrator with them and I was assured that the child was medical relised to fly and approved by Austrian airlines. The papers are in the voyage log binder. Upon departure we made clear to the ATC that this was a medical flight and requested priority. We got the confirmation from the ATC of the ammandement to our flight plan and got a shortcut after we were airborne. During our departure briefing I briefed my copilot of possible enroute diversions. We were at fl 360 and close to the hungarian airspace but still under bucarst radar when ccm1 notified me that child colapsed. I have asked ccm1 to check for mored detailes. After a minute she come back and told me that the doctors are reanimating a child. At that point i have declared pan pan pan and requested imediatel descent and diversion to BUD. After initial descend and change in heading I took control of the acft. Descend was made with max ROD and max speed. I have even flown with speed of 320 kts at 3000 feet just to land as soon as possible. I have landed  at BUD with child and two doctors and ccm 1 in a galley flor. Ccm2 did secure the cabin. Landing was soft and with minimum braking but full reverssr on rwy 31L. We exited to the left on twy c where the paramedics waited for us. Since apu was already on i have shut down both engines at once and commanded to open the door. Child was broth into the ambulance for reanimation. The rest of the pax and crew were not injured. Upon disscussing with the crew we decided to fly to vie and then called unfit to fly for the day.the crew did amazing and proffesional job unfortunatelly the child did not survive.,0,1
1653248,CAA MOR-0053-2014,Stick shaker activation,3nm final RW30 / JP701,"Landing at LJLJ, ILS 30 app at approx. 1000 ft agl and AP on. Speed was Vref and stick shaker
activated. AP was disconnected and normal landing was performed.",0,2
2267863,SOR-0488-2018,Birdstrike,Europe and North Atlantic - Austria / LOWW / AUA770,During approach to VIE RWY 16 at 300ft a small flock of birds appeared in front of us. One of them dissapeared below the cockpit view and a thump was heard. After landing the ACFT nose was inspected and traces of feathers and blood were found on the left side of the fuselage just behind radome fairings and on the CPT pitot tube fixing.,0,1
2241079,SOR-0407-2018,Sink rate under 1000 ft,Europe and North Atlantic - Slovenia / LJLJ / JP103,During the last phase of the approach a positive windshear was experienced which subsequently caused also the computerized sink rate callout. As safe landing could be assured we continued to land. The itself landing was uneventful.,0,1
2390946,SOR-0205-2019,Unmarked weapons in checked baggage,Europe and North Atlantic - Bosnia and Herzegovina / SJJ / JP700,"On flight JP700 (lju-sjj), handling agent in sjj came to me and asked about weapons..  I did not know anything about it, because nobody told me. We had no document about it, and the weapons was carried with no consent and nobody knew about this.
We had box of weapons in checked baggage, unmarked and with no knowledge about it.
Apparently there was only PSM message...
See attachement.
",0,1
